,Stream start time,Stream length,Watch time,Avg viewers,Peak viewers,Followers gained,Followers per hour,Views,Views per hour
193,Wednesday 17th February 2021 16:58,46,58512,1272,1796,57,57,20534,20534
17,Saturday 4th September 2021 19:45,44,88000,2000,2253,79,105,8131,10841
209,Wednesday 3rd February 2021 19:58,107,412485,3855,4874,109,54,45738,22869
156,Thursday 1st April 2021 21:17,42,82530,1965,2365,115,153,11669,15558
79,Friday 25th June 2021 05:54,50,136200,2724,2764,127,169,8828,11770
240,Saturday 26th December 2020 23:04,100,313300,3133,4112,127,72,44549,25456
27,Thursday 26th August 2021 12:31,238,544306,2287,2677,140,35,63643,15910
53,Saturday 24th July 2021 16:41,138,529092,3834,5684,145,58,79918,31967
179,Saturday 6th March 2021 15:57,77,98406,1278,1594,151,100,25468,16978
257,Sunday 6th December 2020 17:58,226,426914,1889,2518,153,40,64054,17081
203,Wednesday 10th February 2021 16:38,81,194481,2401,3492,158,105,40715,27143
92,Sunday 13th June 2021 19:57,122,760548,6234,8366,168,74,90706,40313
91,Monday 14th June 2021 03:26,94,200314,2131,2853,169,96,26127,14929
36,Wednesday 11th August 2021 13:09,110,481030,4373,6273,174,87,49831,24915
58,Sunday 18th July 2021 22:43,106,218890,2065,3129,182,91,41114,20557
29,Tuesday 24th August 2021 15:54,230,706330,3071,3913,191,47,82926,20731
6,Monday 20th September 2021 17:13,256,715520,2795,3325,197,43,107097,23799
18,Saturday 4th September 2021 12:21,53,110293,2081,2408,213,213,18453,18453
205,Sunday 7th February 2021 21:26,183,588345,3215,4015,222,80,60977,22173
283,Saturday 14th November 2020 00:39,125,143750,1150,1394,229,101,22876,10167
195,Tuesday 16th February 2021 17:49,130,273260,2102,2325,238,105,63468,28208
35,Thursday 12th August 2021 15:46,268,1152400,4300,5090,241,53,105656,23479
42,Wednesday 4th August 2021 13:16,103,336089,3263,3820,242,138,37622,21498
288,Tuesday 10th November 2020 12:30,30,97860,3262,3726,245,326,13256,17674
64,Tuesday 13th July 2021 16:42,152,760912,5006,7507,247,89,91708,33348
