,Stream start time,Stream URL,Stream length,Watch time,Avg viewers,Peak viewers,Followers gained,Followers per hour,Views,Views per hour,Games
1,Saturday 25th September 2021 12:24,https://sullygnome.com/channel/taliyaahh/stream/43832315133,80,26240,328,466,78,52,3737,2491,
2,Friday 24th September 2021 22:45,https://sullygnome.com/channel/taliyaahh/stream/43824202829,0,0,100,100,0,0,0,0,
3,Thursday 23rd September 2021 23:17,https://sullygnome.com/channel/taliyaahh/stream/43811802541,117,9126,78,114,4,2,1614,807,
4,Thursday 23rd September 2021 19:14,https://sullygnome.com/channel/taliyaahh/stream/40004825387,105,33810,322,426,90,51,4273,2441,
5,Thursday 23rd September 2021 13:21,https://sullygnome.com/channel/taliyaahh/stream/40003669435,173,80618,466,640,250,83,8202,2734,
6,Wednesday 22nd September 2021 16:24,https://sullygnome.com/channel/taliyaahh/stream/43795012621,65,24635,379,476,83,66,3362,2689,
7,Wednesday 22nd September 2021 11:22,https://sullygnome.com/channel/taliyaahh/stream/43792798605,112,49280,440,816,111,55,5599,2799,
8,Tuesday 21st September 2021 14:37,https://sullygnome.com/channel/taliyaahh/stream/43781825805,112,39648,354,551,88,44,6047,3023,
9,Monday 20th September 2021 23:34,https://sullygnome.com/channel/taliyaahh/stream/43774836381,205,22550,110,136,26,7,3794,1084,
10,Monday 20th September 2021 23:15,https://sullygnome.com/channel/taliyaahh/stream/43774589309,0,0,56,97,7,28,197,788,
11,Monday 20th September 2021 16:51,https://sullygnome.com/channel/taliyaahh/stream/43770739885,98,53508,546,609,129,73,3392,1938,
12,Sunday 19th September 2021 13:26,https://sullygnome.com/channel/taliyaahh/stream/39986997899,33,2673,81,121,-1,-1,782,1042,
13,Sunday 19th September 2021 11:45,https://sullygnome.com/channel/taliyaahh/stream/39986689083,59,8791,149,209,0,0,1547,1547,
14,Friday 17th September 2021 19:14,https://sullygnome.com/channel/taliyaahh/stream/43731139597,30,4680,156,161,2,4,839,1678,
15,Friday 17th September 2021 13:29,https://sullygnome.com/channel/taliyaahh/stream/39977822347,75,23325,311,416,44,35,3339,2671,
