"","Stream start time","Stream URL","Stream length","Watch time","Avg viewers","Peak viewers","Followers gained","Followers per hour","Views","Views per hour","Games"
"101","Wednesday 2nd June 2021 20:38","https://sullygnome.com/channel/melina/stream/42181928605","156","390156","2501","3216","308","112","73350","26672","Just Chatting|Just_Chatting|https://static-cdn.jtvnw.net/ttv-boxart/Just%20Chatting-136x190.jpg?imenable=1&impolicy=user-profile-picture&imwidth=100"
"102","Tuesday 1st June 2021 21:10","https://sullygnome.com/channel/melina/stream/42166139661","229","815011","3559","4160","1813","453","113323","28330","Just Chatting|Just_Chatting|https://static-cdn.jtvnw.net/ttv-boxart/Just%20Chatting-136x190.jpg?imenable=1&impolicy=user-profile-picture&imwidth=100"
"103","Tuesday 1st June 2021 06:15","https://sullygnome.com/channel/melina/stream/42157557885","105","265125","2525","2973","640","320","38228","19114","Just Chatting|Just_Chatting|https://static-cdn.jtvnw.net/ttv-boxart/Just%20Chatting-136x190.jpg?imenable=1&impolicy=user-profile-picture&imwidth=100"
"104","Sunday 30th May 2021 20:03","https://sullygnome.com/channel/melina/stream/42134550237","251","1121468","4468","5287","2884","678","167025","39300","Just Chatting|Just_Chatting|https://static-cdn.jtvnw.net/ttv-boxart/Just%20Chatting-136x190.jpg?imenable=1&impolicy=user-profile-picture&imwidth=100"
"105","Saturday 29th May 2021 19:36","https://sullygnome.com/channel/melina/stream/42117898093","413","1291038","3126","4090","2216","316","205221","29317","Just Chatting|Just_Chatting|https://static-cdn.jtvnw.net/ttv-boxart/Just%20Chatting-136x190.jpg?imenable=1&impolicy=user-profile-picture&imwidth=100"
"106","Friday 28th May 2021 22:26","https://sullygnome.com/channel/melina/stream/42103324701","183","731268","3996","4874","2265","696","114150","35123","Just Chatting|Just_Chatting|https://static-cdn.jtvnw.net/ttv-boxart/Just%20Chatting-136x190.jpg?imenable=1&impolicy=user-profile-picture&imwidth=100"
"107","Friday 28th May 2021 05:17","https://sullygnome.com/channel/melina/stream/42092722493","162","281718","1739","2059","660","240","47340","17214","Just Chatting|Just_Chatting|https://static-cdn.jtvnw.net/ttv-boxart/Just%20Chatting-136x190.jpg?imenable=1&impolicy=user-profile-picture&imwidth=100"
"108","Thursday 27th May 2021 19:01","https://sullygnome.com/channel/melina/stream/42083731117","238","904162","3799","4766","1604","401","143489","35872","Just Chatting|Just_Chatting|https://static-cdn.jtvnw.net/ttv-boxart/Just%20Chatting-136x190.jpg?imenable=1&impolicy=user-profile-picture&imwidth=100"
"109","Tuesday 25th May 2021 20:02","https://sullygnome.com/channel/melina/stream/42054280669","237","802245","3385","3856","1947","486","139722","34930","Just Chatting|Just_Chatting|https://static-cdn.jtvnw.net/ttv-boxart/Just%20Chatting-136x190.jpg?imenable=1&impolicy=user-profile-picture&imwidth=100"
"110","Monday 24th May 2021 22:00","https://sullygnome.com/channel/melina/stream/42040394109","194","576568","2972","3332","1082","332","87213","26834","Just Chatting|Just_Chatting|https://static-cdn.jtvnw.net/ttv-boxart/Just%20Chatting-136x190.jpg?imenable=1&impolicy=user-profile-picture&imwidth=100"
